customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,tenure_group,avg_monthly_spend,revenue
7590-vhveg,female,0,yes,no,1,no,no phone service,dsl,no,yes,no,no,no,no,month-to-month,yes,electronic check,29.85,29.85,no,0-6,14.925,29.85
5575-gnvde,male,0,no,no,34,yes,no,dsl,yes,no,yes,no,no,no,one year,no,mailed check,56.95,1889.5,no,24-48,53.98571428571429,56.95
3668-qpybk,male,0,no,no,2,yes,no,dsl,yes,yes,no,no,no,no,month-to-month,yes,mailed check,53.85,108.15,yes,0-6,36.050000000000004,53.85
7795-cfocw,male,0,no,no,45,no,no phone service,dsl,yes,no,yes,yes,no,no,one year,no,bank transfer (automatic),42.3,1840.75,no,24-48,40.016304347826086,42.3
9237-hqitu,female,0,no,no,2,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,70.7,151.65,yes,0-6,50.550000000000004,70.7
9305-cdskc,female,0,no,no,8,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,99.65,820.5,yes,6-12,91.16666666666667,99.65
1452-kiovk,male,0,no,yes,22,yes,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,yes,credit card (automatic),89.1,1949.4,no,12-24,84.75652173913043,89.1
6713-okomc,female,0,no,no,10,no,no phone service,dsl,yes,no,no,no,no,no,month-to-month,no,mailed check,29.75,301.9,no,6-12,27.44545454545454,29.75
7892-pookp,female,0,yes,no,28,yes,yes,fiber optic,no,no,yes,yes,yes,yes,month-to-month,yes,electronic check,104.8,3046.05,yes,24-48,105.03620689655173,104.8
6388-tabgu,male,0,no,yes,62,yes,no,dsl,yes,yes,no,no,no,no,one year,no,bank transfer (automatic),56.15,3487.95,no,48+,55.364285714285714,56.15
9763-grskd,male,0,yes,yes,13,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,mailed check,49.95,587.45,no,12-24,41.96071428571429,49.95
7469-lkbci,male,0,no,no,16,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),18.95,326.8,no,12-24,19.223529411764705,18.95
8091-ttvax,male,0,yes,no,58,yes,yes,fiber optic,no,no,yes,no,yes,yes,one year,no,credit card (automatic),100.35,5681.1,no,48+,96.28983050847458,100.35
0280-xjgex,male,0,no,no,49,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,bank transfer (automatic),103.7,5036.3,yes,48+,100.726,103.7
5129-jlpis,male,0,no,no,25,yes,no,fiber optic,yes,no,yes,yes,yes,yes,month-to-month,yes,electronic check,105.5,2686.05,no,24-48,103.3096153846154,105.5
3655-snqyz,female,0,yes,yes,69,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,no,credit card (automatic),113.25,7895.15,no,48+,112.78785714285713,113.25
8191-xwszg,female,0,no,no,52,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,20.65,1022.95,no,48+,19.300943396226415,20.65
9959-wofkt,male,0,no,yes,71,yes,yes,fiber optic,yes,no,yes,no,yes,yes,two year,no,bank transfer (automatic),106.7,7382.25,no,48+,102.53125,106.7
4190-mfluw,female,0,yes,yes,10,yes,no,dsl,no,no,yes,yes,no,no,month-to-month,no,credit card (automatic),55.2,528.35,yes,6-12,48.03181818181818,55.2
